,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
59,52.49892,13.32494,2.0,german,216,487,4,16,4,3,2,21,2,223,21,2,4,223,2,19,7,6411
60,52.504715363771,13.323952616907,3.0,sushi,227,480,5,9,4,3,0,35,1,231,25,0,8,231,3,22,4,6215
61,52.4909,13.3169,2.0,cafes,104,222,7,5,2,8,6,6,1,108,3,5,0,108,2,8,4,7318
62,52.493,13.3314,1.0,currysausage,146,309,8,11,2,0,6,15,3,154,12,3,1,154,0,11,8,6359
63,52.442789690313504,13.3128392122893,2.0,german,12,30,1,0,0,1,0,1,0,14,1,2,0,14,0,2,2,11214
64,52.489849899999996,13.31165,2.0,georgian,69,142,3,0,0,10,6,2,0,70,0,3,3,70,0,9,1,7684
65,52.48816,13.337829999999999,1.0,greek,100,216,8,5,2,3,4,11,3,106,4,0,0,106,0,3,6,6328
66,52.50305,13.313189999999999,1.0,bakeries,360,777,18,13,4,6,0,53,7,379,16,1,9,379,8,39,19,6965
67,52.5019813817276,13.3150138910044,3.0,italian,337,816,18,11,7,7,0,49,7,359,17,0,10,359,4,37,22,6891
68,52.46535200646339,13.3307955092621,2.0,german,91,200,4,4,1,9,1,9,2,98,2,2,1,98,3,7,7,8478
69,52.499222991395705,13.312975838720698,2.0,italian,251,606,10,11,4,4,3,34,3,269,17,0,10,269,2,28,18,7135
70,52.470395518196106,13.334425184253199,2.0,cafes,90,198,5,4,0,10,1,10,2,93,1,2,0,93,3,5,3,7889
71,52.506599,13.305719,2.0,cafes,327,712,23,6,4,9,2,46,10,344,13,3,4,344,9,25,17,7327
72,52.4539841367397,13.3232087619922,2.0,icecream,55,120,0,6,1,3,1,5,3,57,1,1,1,57,0,6,2,9793
73,52.50435,13.307120000000001,1.0,vietnamese,406,902,21,7,4,9,2,68,10,430,16,3,11,430,8,42,24,7308
74,52.50603,13.315129999999998,2.0,thai,273,582,16,8,1,3,1,42,7,288,15,2,5,288,6,24,15,6733
75,52.5009,13.3336,3.0,international,229,475,2,6,6,4,4,21,3,236,22,5,9,236,0,30,7,5787
76,52.50492489999999,13.299574800000002,2.0,cafes,292,636,19,5,2,9,4,39,9,305,10,3,2,305,7,22,13,7779
77,52.5149808,13.3027533,2.0,greek,77,165,3,4,4,0,3,12,4,82,6,0,0,82,2,4,5,7329
78,52.50189,13.329310000000001,3.0,steak,209,426,2,9,6,3,2,15,2,211,24,2,6,211,0,17,2,6001
79,52.50773,13.309820000000002,2.0,wine_bars,300,640,17,7,3,4,2,49,10,316,14,4,6,316,10,32,16,7025
80,52.5039,13.3376,4.0,sushi,173,356,3,1,4,2,5,17,3,177,15,5,7,177,1,24,4,5396
81,52.4691681730693,13.3325258306918,1.0,burgers,105,222,5,5,0,11,2,10,2,109,2,2,1,109,2,7,4,8076
82,52.524826734341005,13.304128053967199,1.0,cafes,32,68,1,1,1,1,1,3,1,33,2,0,1,33,0,2,1,7159
83,52.4785,13.3289,1.0,pizza,54,120,0,0,0,2,0,7,2,58,2,0,0,58,0,2,4,7494
84,52.4987139998121,13.3457436105449,1.0,hotdogs,120,259,4,0,2,2,5,16,4,129,11,6,4,129,1,23,9,5195
85,52.50996,13.2965699,2.0,italian,154,370,9,0,2,5,5,25,6,160,7,2,2,160,4,11,6,7841
86,52.504302100000004,13.3368339,2.0,chinese,168,347,2,2,4,2,5,13,3,172,15,5,7,172,1,25,4,5425
87,52.4643070445405,13.3140532972376,1.0,icecream,26,56,1,0,3,0,0,5,1,27,2,1,0,27,0,2,1,9321
88,52.46007785578429,13.3249788640693,2.0,pizza,88,198,0,6,3,3,2,5,6,96,2,2,1,96,0,8,8,9183
89,52.431000000000004,13.3097,3.0,bakeries,7,14,0,0,0,0,0,1,0,7,1,0,0,7,0,0,0,12417
90,52.503409999999995,13.308520000000001,2.0,german,416,911,19,12,4,9,1,65,10,439,17,3,11,439,8,44,23,7251
91,52.488643,13.301216,2.0,desserts,21,44,1,0,1,4,0,1,0,21,4,2,0,21,0,2,0,8368
92,52.498380000000004,13.30691,1.0,cocktailbars,217,496,10,8,4,4,3,28,2,239,12,0,9,239,0,27,22,7551
93,52.49961089999999,13.303529699999999,1.0,falafel,244,526,10,5,4,6,0,36,2,261,12,2,12,261,0,34,17,7713
94,52.463175899999996,13.3204022,3.0,delicatessen,80,175,0,6,3,1,0,5,6,87,3,1,1,87,0,6,7,9120
95,52.500839899999995,13.29635,1.0,panasian,180,379,6,3,3,2,2,31,0,187,6,0,4,187,2,16,7,8125
96,52.46585,13.32971,2.0,cafes,96,216,5,5,1,9,1,9,2,103,3,2,1,103,3,7,7,8482
97,52.5058,13.3152,2.0,spanish,274,582,16,8,1,3,1,44,6,289,15,2,5,289,6,24,15,6736
98,52.498999999999995,13.3134,3.0,italian,248,598,10,11,4,4,3,33,3,266,17,0,10,266,2,29,18,7119
99,52.490658534247,13.3133667334914,1.0,kebab,75,162,3,0,0,8,5,4,0,76,2,4,3,76,0,10,1,7538
100,52.45052,13.322729999999998,1.0,sportsbars,35,70,1,2,0,3,1,3,1,35,2,0,1,35,0,2,0,10123
101,52.51705,13.30611,1.0,pubs,54,118,2,4,2,0,0,9,1,57,3,0,0,57,1,3,3,7073
102,52.46836999999999,13.328660000000001,2.0,bakeries,108,234,5,4,1,7,2,9,3,114,2,2,1,114,3,8,6,8315
103,52.501419090123996,13.3399408216656,2.0,cocktailbars,184,390,3,2,4,2,5,19,5,191,18,6,4,191,1,25,7,5379
104,52.501959899999996,13.31724,3.0,italian,310,750,16,15,5,6,0,46,3,329,21,0,7,329,4,30,19,6751
105,52.5038681,13.315730100000001,1.0,japanese,323,696,18,11,2,7,0,50,6,345,17,1,7,345,8,32,22,6772
106,52.46929,13.33331,2.0,divebars,102,214,5,5,0,11,2,10,2,106,2,1,1,106,3,6,4,8031
107,52.4934,13.332398999999999,2.0,icecream,148,320,9,10,0,0,6,15,2,158,11,3,1,158,0,11,10,6278
108,52.4958568649949,13.3087234725075,2.0,indpak,195,421,6,8,3,10,5,21,2,208,7,2,8,208,2,25,13,7552
109,52.47223,13.33506,2.0,cafes,82,175,5,4,0,9,1,11,3,84,0,2,0,84,3,5,2,7706
