coordinates.latitude,coordinates.longitude,rating,review_count,price,categories.0.alias
52.492969,13.332475,4.5,24,€,vietnamese
52.4970592,13.3221672,4.5,24,€€€,turkish
52.4869,13.3228,4,30,€,burgers
52.4691681730693,13.3325258306918,4,8,€,burgers
52.46784,13.3311,4.5,5,€,pizza
52.4647098635289,13.3266513900054,4.5,5,€€,sushi
52.44834,13.305527,3.5,21,€€,bakeries
52.493402,13.321648,5,10,€€,german
52.4735,13.3218,4.5,8,€€,austrian
52.499226,13.301504,3.5,81,€€€,italian
52.475177031131,13.3228350235897,4.5,6,€,cafes
52.4851,13.32081,3.5,18,€€,thai
52.46702,13.33871,4.5,7,€€,pizza
52.4703955181961,13.3344251842532,4.5,6,€€,cafes
52.4474673,13.3322743,4,12,,parks
52.4978158813752,13.3249923104748,5,11,€€€,argentine
52.494976,13.3246134,4.5,23,€€,greek
52.4787899,13.31052,3.5,18,€€,german
52.4643070445405,13.3140532972376,5,4,€,icecream
52.4629,13.3386,4,9,€,cafes
52.5011425329054,13.3180979565502,3.5,93,€€€,cafes
52.48917,13.33892,4,23,€€,bavarian
52.4973,13.3204499,4.5,20,€€,desserts
52.50021,13.31949,4,33,€€€,vietnamese
52.4645761873903,13.3207042515278,5,3,,italian
52.50113,13.32534,3.5,95,€€,turkish
52.4978346113558,13.3248428201293,4,30,€€,international
52.4477,13.316,4,14,€,chinese
52.48215,13.3206399,4.5,6,€€,turkish
52.4717,13.33586,4,10,€€,hotdogs
52.46016,13.33973,4.5,5,€€,serbocroatian
52.49649,13.32387,3.5,47,€€,russian
52.4437,13.3397,4,34,€€€,italian
52.488384836556,13.3397580073631,4.5,13,€,currysausage
52.449519,13.302753,3.5,26,€€,indpak
52.4631759,13.3204022,4.5,6,€,sushi
52.4723587,13.31989,3,15,€€,bakeries
52.4648767,13.3281071,4,6,,coffee
52.4641498,13.3252741,4.5,4,€€,cafes
52.4999543,13.3037569,4.5,27,€€,cafes
52.4551,13.32511,5,5,€,bookstores
52.4639913,13.3332558,4,5,€,icecream
52.488643,13.301216,3.5,31,€€,desserts
52.4942,13.33773,5,10,€€,bakeries
52.5000190846495,13.3135047269262,3.5,69,€€,lounges
52.49794,13.3191,4,42,€€,italian
52.50129,13.32832,4,27,€€€,german
52.4672667178351,13.3306052908301,3.5,7,€€,coffeeteasupplies
52.499476,13.306815,4,32,€€€,italian
52.4892,13.3406,4,18,€€,vietnamese
52.4653520064634,13.3307955092621,4,6,€€,german
52.494733,13.338273,4.5,15,€€,italian
52.4785,13.3253,3,20,€€,cafes
52.4590876878236,13.3207660766024,4.5,4,€,eltern_cafes
52.4832,13.3422,4.5,9,,parks
52.49701,13.31403,4,29,€€,greek
52.4556,13.317,3,17,€€,italian
52.458018,13.321038,3,16,€€,icecream
52.46099,13.31793,5,4,€€,antiques
52.5016,13.32126,3.5,61,€€,italian
52.45803,13.3221399,2.5,29,€,chinese
52.4993,13.32502,3.5,43,€€,indpak
52.4566258495001,13.3387396206541,4,8,€,panasian
52.46478,13.32794,4.5,3,€€,sandwiches
52.4626,13.3261,4,5,€,bakeries
52.49606,13.32666,5,12,€€€,cocktailbars
52.49856,13.30091,3.5,80,€€€,brazilian
52.4629,13.3418,5,4,€€,bakeries
52.4626570515679,13.3244211226702,4.5,3,,seafood
52.4971288,13.3225142,3.5,35,€€,icecream
52.49553,13.34307,3,66,€€,german
52.456382,13.322903,3,17,€,kebab
52.49093,13.32703,3.5,23,€€,greek
52.44764568623,13.341200016439,4.5,10,€€,chinese
52.47831,13.3302,4.5,6,€€,pizza
52.4958568649949,13.3087234725075,4.5,13,€€,indpak
52.4786,13.3209,3.5,14,€,pizza
52.4747,13.3389,4.5,6,€€,serbocroatian
52.4913516015655,13.3261524082653,3.5,43,€€,greek
52.49186,13.32693,3.5,28,€€,desserts
52.4713398,13.3330886,3,23,€€,swabian
52.500189,13.321796,4.5,11,€€,cafes
52.464639,13.327399,2.5,21,€€,hotdogs
52.4516,13.3357,4,11,€€,greek
52.49772,13.33394,4,25,€€,persian
52.45602,13.32358,3.5,15,€,pizza
52.43999,13.3158999,4,19,€€,pizza
52.481983,13.322436,3.5,16,€€,german
52.4555,13.3219,3,13,€€,chinese
52.4873924357757,13.3300282676551,3.5,19,€€,chinese
52.50056,13.3369199,3.5,63,€€€,turkish
52.4650837,13.3212844,4,6,€€,italian
52.47338,13.31675,4.5,4,€€€€,tea
52.4635539162876,13.3265856402797,5,2,,kebab
52.501438,13.3220081,4,25,€€€,german
52.44893,13.30347,3.5,18,€€,spanish
52.4819717,13.3209,3.5,11,€€,italian
52.4647,13.3148,4,4,€€,pubs
52.4642,13.3272,2.5,14,€€,icecream
52.49667,13.30541,4,26,€€,german
52.5002599952876,13.3036586215312,4.5,12,€€,sushi
52.50035,13.30785,3,76,€€,cocktailbars
52.478869,13.32956,3.5,13,€,panasian
52.461265,13.324889,3,8,€,hotdogs
52.472585,13.314667,4,7,€,italian
52.4907688349141,13.3250323145566,4.5,12,€€,italian
52.4770899,13.32886,4.5,4,€€,icecream
52.470787,13.340759,4,6,€,indpak
52.4732192,13.3131194,3.5,7,€€,italian
52.43374,13.34171,5,8,€,sushi
52.471793,13.320414,3,12,€,pizza
52.4934,13.332399,4.5,9,€€,icecream
52.46337,13.33873,4.5,4,€€,burgers
52.470844304823,13.3202419057488,3.5,5,,burgers
52.465479,13.329332,5,2,,juicebars
52.4705,13.3346,3,14,€€,pizza
52.49256,13.33268,4,18,€€,serbocroatian
52.49151,13.32609,4,15,€€,indpak
52.4623143704645,13.3242123912489,3.5,5,€,panasian
52.4351,13.3133,4,21,€€,serbocroatian
52.5002851690344,13.3151138664476,4.5,15,€€€,spanish
52.50156,13.33473,4.5,12,€,mediterranean
52.49621,13.32742,5,9,€€,indpak
52.49345,13.32168,4.5,8,€€,italian
52.4933263,13.3324673,3.5,24,€€,bars
52.48171,13.33001,4,10,€€,restaurants
52.501033,13.312805,3.5,28,€€,coffee
52.50156,13.33473,4.5,17,€€,panasian
52.4821168750412,13.3157900283577,3.5,14,€€,german
52.4625197697779,13.3249168263733,3.5,5,€€,indpak
52.49626,13.34299,5,7,€,german
52.474722827289,13.328289873898,5,3,,vietnamese
52.5002518,13.3247404,4.5,14,€€,cafes
52.4984915160123,13.3148485950947,3.5,28,€€,austrian
52.49613,13.341261,3,40,€€,mediterranean
52.49095,13.33144,3.5,31,€€,eltern_cafes
52.47822,13.32891,4.5,3,,chinese
52.44287,13.33309,4,11,€€,turkish
52.4863236003593,13.3212736984253,4.5,5,€,pizza
52.4947619,13.3393736,4,14,€€,austrian
52.4622,13.33888,3.5,8,€€,german
52.4944996,13.323741,4.5,11,€,hotdogs
52.4991,13.3187,4.5,9,€€,thai
52.475245,13.34024,4,5,€€€,cafes
52.4628299,13.3261,3,9,€€,cafes
52.4461,13.32911,3,23,€€€,pizza
52.4587,13.3395,3.5,10,€€€,steak
52.4940799,13.3375299,4,14,€€,cakeshop
52.4772,13.30747,3,13,€€,hotdogs
52.4749833,13.3388463,5,3,,panasian
52.4645,13.3265,3,6,€,chinese
52.4390600639119,13.3007526397705,3.5,16,€€,german
52.498985,13.34272,3.5,35,€€,gaybars
52.50203,13.3413299,4,15,€€€,bakeries
52.4722764018938,13.3135970681906,4.5,3,€€,cafes
52.486913,13.327962,3.5,12,€€,italian
52.49892,13.32494,4,15,€€,german
52.47223,13.33506,4.5,3,€€,cafes
52.48555,13.3278,4,7,€,pubs
52.50167,13.32549,4,20,€€,italian
52.434096,13.341845,3.5,22,€€€,serbocroatian
52.48151,13.31436,3.5,10,€€,pizza
52.4625,13.3243,3.5,4,€€,icecream
52.4785,13.3289,4,5,€,pizza
52.4733,13.3418,4.5,4,,landmarks
52.47188,13.31912,4,4,€€,divebars
52.4596885132795,13.3242054950018,4.5,3,€,falafel
52.48609,13.32916,4,9,€€€,italian
52.4669,13.3086,3.5,5,€€,currysausage
52.50104,13.31863,3,43,€€€,cafes
52.456185,13.322726,4,4,€,chickenshop
52.4867,13.3231,3.5,13,€,bakeries
52.4514,13.3386,3,16,€,kebab
52.43064,13.316296,4,18,€€,currysausage
52.4655264,13.317056,4,3,€,panasian
52.4986,13.30773,3.5,30,€€€,japanese
52.46601,13.32989,4,3,,sushi
52.49335,13.33235,4,11,€€,coffee
52.4570999,13.32244,3,8,€,panasian
52.46069,13.32471,3.5,4,€€€,bakeries
52.4903,13.3148,4,11,€€€,currysausage
52.4594650268555,13.3193292617798,4.5,3,,divebars
52.4598431,13.3256888,3.5,7,€€€,hookah_bars
52.49884,13.30789,3.5,31,€€,pubs
52.4631759,13.3204022,3.5,4,€€€,delicatessen
52.46237,13.32629,2.5,12,€,hotdogs
52.46929,13.33331,4.5,3,€€,divebars
52.4604073127928,13.323221510205,4.5,2,€,turkish
52.4413,13.3145,4,10,€€,italian
52.4719913777056,13.3349280171967,3.5,6,,vietnamese
52.5002827861346,13.3355532959104,4,10,€,dimsum
52.48966,13.31873,4,7,€,cafes
52.4688408,13.3234838,3.5,3,€,italian
52.4583,13.3275,4,4,€,bakeries
52.496068,13.338542,4.5,10,€€€,italian
52.4618,13.3191,3.5,7,€€,bakeries
52.49496,13.32414,5,5,,mideastern
52.4996,13.3274,3.5,20,€€,italian
52.4974664,13.3244569,4,10,,turkish
52.4970322,13.3235618,4.5,6,€€,wine_bars
52.43385,13.31764,3,33,€€,mediterranean
52.4727402,13.3292303,3,5,€€,mexican
52.446251,13.315656,3.5,9,€€,fooddeliveryservices
52.499928,13.305074,3.5,24,€,italian
52.46692,13.3221399,4,2,€€,divebars
52.472043,13.335006,5,2,,vietnamese
52.490658534247,13.3133667334914,4.5,7,€,kebab
52.48719,13.32637,4,6,€€,vietnamese
52.4663,13.324,4.5,2,€,divebars
52.4749367,13.3033771,4.5,3,,cafes
52.493315,13.331787,4,14,€,kebab
52.497233,13.320313,4.5,8,€€,bars
52.4667,13.3285,3,5,,bistros
52.4631193268451,13.3269819617271,3.5,4,€€€€,coffee
52.4931,13.3338,4.5,6,€€€,cafes
52.49913,13.341423,4,12,€€,gaybars
52.452888990516,13.3383710860392,4.5,3,,sushi
52.5009,13.3336,4,10,€€€,international
52.451223,13.339395,4,4,€,cafes
52.495,13.33402,4,13,€€,german
52.50048,13.33692,3.5,25,€€,spanish
52.4600412,13.3171175,3.5,4,,indpak
52.46257,13.32569,2,10,€€€,coffee
52.498822,13.314293,4,13,€€,vietnamese
52.4793,13.3209,3.5,5,€,fooddeliveryservices
52.497611,13.340351,4.5,6,€€,italian
52.4898499,13.31165,4,8,€€,georgian
52.4901,13.3138,5,4,€,hotdogs
52.4584,13.3023,3.5,8,€€,italian
52.4673,13.3424,5,2,€€,cafes
52.5011234197965,13.3369861477503,5,6,€,bagels
52.4928,13.3305,3.5,11,€€,korean
52.4880679171613,13.3193058321332,4,8,€,indpak
52.47424,13.3329799,4.5,2,,wine_bars
52.4654799,13.3276814,5,1,€€,cafes
52.4636109150076,13.3268841722767,3.5,4,€€€,icecream
52.466219,13.306702,4,3,€€€,italian
52.5009600112072,13.3425590576236,4,14,€€€€,steak
52.50025,13.30596,3.5,26,€€€€,steak
52.46353,13.33453,3,5,€,cafes
52.4946753002027,13.3293596203005,4,8,,german
52.50114,13.33956,3.5,14,€€€,french
52.472244,13.307756,3.5,5,€€,chinese
52.4866188717137,13.3185809624718,4,5,€€,bavarian
52.4697313,13.3202392,5,1,,sportsbars
52.4789,13.3326,5,2,,bakeries
52.4654799,13.3276814,5,1,,bakeries
52.4867219694567,13.3227508251313,2.5,18,€,falafel
52.43165,13.33812,3.5,21,€€,italian
