	latitude	longitude	price	categories	others	koreanneigbours	italianneigbhours	vietnameseneigbhours	japaneseneigbhours
59	52.457052412452704	13.322023885262102	2.0	"[{""title"":""American (Traditional)"",""alias"":""tradamerican""},{""title"":""Burgers"",""alias"":""burgers""}]"	31	0	5	0	1
60	52.479009999999995	13.327689999999999	3.0	"[{""title"":""Mexican"",""alias"":""mexican""}]"	6	0	1	0	0
61	52.4667	13.33	2.0	"[{""title"":""Spanish"",""alias"":""spanish""},{""title"":""Wine Bars"",""alias"":""wine_bars""},{""title"":""Tapas Bars"",""alias"":""tapas""}]"	29	3	5	2	1
62	52.457969999999996	13.32925	2.0	"[{""title"":""Irish Pub"",""alias"":""irish_pubs""},{""title"":""International"",""alias"":""international""}]"	24	1	4	0	2
63	52.49855	13.32485	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""}]"	2	0	0	0	0
64	52.476722245696706	13.3264443646686	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	10	1	1	0	0
65	52.4665777675304	13.325003033065698	2.0	"[{""title"":""German"",""alias"":""german""}]"	32	2	5	2	2
66	52.49624	13.32255	2.0	"[{""title"":""Spanish"",""alias"":""spanish""}]"	2	0	0	0	0
67	52.46011	13.30945	1.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	7	0	1	0	0
68	52.454163	13.317163	2.0	"[{""title"":""American (Traditional)"",""alias"":""tradamerican""},{""title"":""Burgers"",""alias"":""burgers""}]"	21	0	3	0	0
69	52.4644397364299	13.323324099183099	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	39	1	3	1	2
70	52.460465	13.323129000000002	2.0	"[{""title"":""Thai"",""alias"":""thai""}]"	40	1	5	0	2
71	52.45321	13.3244	4.0	"[{""title"":""Mediterranean"",""alias"":""mediterranean""},{""title"":""Italian"",""alias"":""italian""}]"	21	0	2	0	0
72	52.463319999999996	13.329920000000001	2.0	"[{""title"":""Japanese"",""alias"":""japanese""},{""title"":""Sushi Bars"",""alias"":""sushi""}]"	37	1	6	2	1
73	52.46488000000001	13.33022	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	32	2	5	2	2
