,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
673,52.49613000000001,13.341261,2.0,mediterranean,80,0,2,1,0,3,3,7,3,80,5,3,2,80,1,11,5,5608
674,52.4467,13.3072,4.0,divebars,17,1,1,0,1,1,0,0,1,18,3,1,0,18,0,1,2,11100
675,52.49488,13.32334,2.0,german,161,5,4,11,1,4,1,15,2,166,5,1,1,166,3,12,11,6717
676,52.500169351612605,13.301185215404,2.0,cafes,311,37,9,9,6,9,0,41,3,348,16,6,14,348,2,42,12,7841
677,52.5011,13.3179,2.0,apartments,369,1,16,21,6,10,1,51,3,370,18,0,6,370,5,29,19,6746
678,52.446220600000004,13.315559599999998,2.0,vietnamese,20,1,1,0,1,2,0,3,1,21,2,2,0,21,0,2,3,10797
679,52.4979302437021,13.3227619515826,2.0,cafes,184,18,5,13,2,4,0,32,1,202,10,0,1,202,3,14,9,6593
680,52.496669999999995,13.30541,2.0,german,295,11,9,12,6,10,1,37,3,306,11,7,10,306,0,37,12,7720
681,52.46657,13.328629999999999,2.0,indpak,113,2,4,5,1,6,2,11,4,115,3,3,1,115,2,12,11,8468
682,52.466881683877205,13.329798370361303,1.0,sushi,119,2,4,2,1,6,3,12,5,121,3,3,1,121,3,13,10,8390
683,52.499680000000005,13.309297,2.0,juicebars,394,1,15,17,7,8,1,47,3,395,16,3,9,395,3,43,22,7346
684,52.512998200000006,13.3043524,3.0,italian,185,21,10,3,4,6,6,21,11,206,14,3,0,206,5,10,7,7257
685,52.4871,13.3305,3.0,steak,88,0,6,4,2,1,3,10,1,88,3,2,0,88,2,5,10,6791
686,52.49354,13.3327899,2.0,localflavor,107,2,4,4,0,2,3,10,2,109,8,2,1,109,0,9,7,6247
687,52.4909,13.3169,2.0,cafes,104,6,3,2,1,4,5,6,0,110,3,3,1,110,2,7,10,7318
688,52.50104,13.318629999999999,3.0,cafes,318,18,14,20,4,10,1,46,3,336,15,0,6,336,5,26,17,6703
689,52.502126100000005,13.3102065,2.0,cafes,523,38,26,19,8,15,4,59,9,561,24,5,15,561,8,58,25,7191
690,52.507740000000005,13.309070000000002,2.0,mediterranean,409,3,23,13,5,9,6,49,10,412,18,3,8,412,10,35,18,7073
691,52.513614000000004,13.317566000000001,2.0,mediterranean,49,0,0,1,0,0,1,7,0,49,3,1,0,49,1,5,0,6363
692,52.4602228255792,13.3242917060852,2.0,cafes,115,12,0,6,4,3,4,12,9,127,2,3,1,127,1,11,11,9200
693,52.5086,13.305,1.0,chinese,345,9,21,4,6,9,8,43,9,354,14,3,4,354,9,24,12,7317
694,52.4928,13.3305,2.0,korean,116,0,4,6,1,2,2,12,3,116,8,2,1,116,0,9,8,6422
695,52.4996181,13.3019201,1.0,german,330,15,9,9,6,9,0,45,3,345,15,7,14,345,2,43,15,7815
696,52.4556,13.317,2.0,italian,63,7,1,5,2,1,3,7,6,70,2,1,1,70,1,4,2,9912
697,52.463175899999996,13.3204022,1.0,sushi,106,5,0,5,3,0,1,9,7,111,2,3,1,111,1,10,10,9120
698,52.447935,13.34017,2.0,indpak,19,0,0,0,0,1,1,2,1,19,0,0,1,19,0,1,2,9732
699,52.487952,13.317788,3.0,japanese,97,2,4,2,2,4,4,8,0,99,3,3,1,99,2,6,10,7440
700,52.4551,13.32511,1.0,bookstores,75,0,0,5,2,2,3,9,6,75,1,2,1,75,1,7,5,9616
701,52.4667,13.3285,2.0,bistros,115,1,4,5,1,6,2,11,4,116,3,3,1,116,2,12,11,8463
702,52.4858,13.335,2.0,bakeries,50,3,4,3,2,1,1,6,0,53,3,0,0,53,0,2,3,6644
703,52.50107,13.31856,3.0,foodstands,337,1,14,20,4,10,1,46,3,338,15,0,6,338,5,26,17,6706
704,52.483441205231294,13.3204484892747,1.0,foodstands,80,1,2,2,2,8,4,7,0,81,2,2,0,81,2,4,8,7580
705,52.525119999999994,13.303335,1.0,cafes,23,3,1,1,1,0,0,2,1,26,1,0,1,26,0,2,1,7213
706,52.497,13.3077,2.0,cafes,298,21,10,14,7,7,1,32,3,319,13,6,9,319,0,40,17,7563
707,52.4698,13.3255,2.0,italian,110,13,5,4,1,4,2,13,3,123,6,6,1,123,2,16,9,8342
708,52.50011,13.30616,2.0,coffee,388,7,14,14,7,9,0,42,4,395,19,3,16,395,0,45,23,7527
709,52.462786960422605,13.3234438250229,2.0,thai,123,1,0,7,4,3,3,10,8,124,2,3,1,124,1,10,12,9017
710,52.4583,13.3275,1.0,bakeries,102,9,0,6,4,3,4,8,9,111,0,2,1,111,1,8,9,9234
711,52.4996181,13.3019201,1.0,german,330,15,9,9,6,9,0,45,3,345,15,7,14,345,2,43,15,7815
